                     , SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles               ,   29, 79, 38, 36
instructions         ,   29, 29, 29, 29
cycles: reorder      ,   25, 56, 34, 32
instructions: reorder,   25, 25, 25, 25
cycles: optimal      ,   25, 56, 34, 32
instructions: optimal,   25, 25, 25, 25
